target,n_total_success,label_n,label_ece,label_mce,label_brier,pose_n,pose_ece,pose_mce,pose_brier,n_bins,binning,pose_cutoff_A,require_success
abl1,11110,11110,2.0875634563456344,5.762499999999999,5.334672304230423,295,1.3901016949152545,3.69,2.552732881355932,20,uniform,2.0,True
akt1,8395,8395,1.930252531268612,5.281428571428571,4.53139236450268,421,1.570451306413302,4.640000000000001,3.264655581947743,20,uniform,2.0,True
akt2,7121,7121,2.2312498244628567,5.476666666666667,5.793056073585171,190,2.1996315789473684,4.23,5.481741578947369,20,uniform,2.0,True
braf,10338,10338,1.5655281485780617,5.276666666666667,3.276483662217063,251,1.3522310756972111,2.87,2.2230211155378488,20,uniform,2.0,True
csf1r,12688,12688,1.45015762925599,6.07,2.7896277112232024,286,1.3202447552447554,3.01,2.256320629370629,20,uniform,2.0,True
egfr,23250,23250,1.3792924731182796,5.79,2.6095749462365587,791,0.8588242730720609,3.63,1.14389595448799,20,uniform,2.0,True
fgfr1,8678,8678,1.917841668587232,5.9775,4.934341887531689,139,1.105179856115108,3.165,1.920339568345324,20,uniform,2.0,True
jak2,6725,6725,1.2260520446096657,5.545,2.134405293680297,153,1.0473856209150327,2.995,1.4398568627450978,20,uniform,2.0,True
kit,10732,10732,2.068863212821469,5.805,5.135009280655983,252,1.8521825396825395,4.22,4.049478174603174,20,uniform,2.0,True
kpcb,9007,9007,1.2210591761962917,5.09,2.107232419229488,198,1.833888888888889,4.73,4.58525202020202,20,uniform,2.0,True
met,11641,11641,1.512554763336483,5.510000000000001,3.168979340262864,244,0.4820901639344262,5.05,0.5957905737704918,20,uniform,2.0,True
mk01,4733,4733,1.786522290302134,5.37,4.092221740967674,139,1.1154676258992806,2.87,1.6382525179856116,20,uniform,2.0,True
mk10,6890,6890,0.9421538461538462,4.87,1.396805428156749,186,1.0382795698924732,2.3920000000000003,1.424135483870968,20,uniform,2.0,True
plk1,7031,7031,1.149293130422415,4.713333333333334,1.8865946238088465,155,0.8770967741935485,2.46,1.2784406451612906,20,uniform,2.0,True
rock1,6549,6549,1.552192701175752,6.33,3.272425301572759,202,1.33490099009901,3.24,2.119802475247525,20,uniform,2.0,True
tgfr1,8936,8936,1.3387533572068042,5.640000000000001,2.964570411817368,281,0.7414946619217083,3.16,1.0409508896797153,20,uniform,2.0,True
vgfr2,25849,25849,1.7555243916592518,5.3740000000000006,3.905449321056908,620,0.7063709677419355,3.5250000000000004,0.9502272580645162,20,uniform,2.0,True
wee1,6365,6365,1.2869787902592302,5.173333333333333,2.2613700864100545,137,0.3227007299270074,1.25,0.17219635036496347,20,uniform,2.0,True
