target,calib_type,bin_id,bin_low,bin_high,n,mean_conf,empirical_rate,abs_gap
abl1,label,0,-5.88,-5.5385,4,-5.762499999999999,0.0,5.762499999999999
abl1,label,1,-5.5385,-5.197,12,-5.3100000000000005,0.0,5.3100000000000005
abl1,label,2,-5.197,-4.855499999999999,30,-4.995333333333334,0.0,4.995333333333334
abl1,label,3,-4.855499999999999,-4.513999999999999,45,-4.6608888888888895,0.0,4.6608888888888895
abl1,label,4,-4.513999999999999,-4.172499999999999,99,-4.32121212121212,0.0,4.32121212121212
abl1,label,5,-4.172499999999999,-3.831,250,-3.9752,0.0,3.9752
abl1,label,6,-3.831,-3.4895,436,-3.654128440366972,0.0022935779816513,3.656422018348624
abl1,label,7,-3.4895,-3.148,636,-3.3036635220125787,0.0031446540880503,3.306808176100629
abl1,label,8,-3.148,-2.8065,1025,-2.963521951219512,0.0078048780487804,2.9713268292682926
abl1,label,9,-2.8065,-2.465,1261,-2.628136399682792,0.0055511498810467,2.633687549563838
abl1,label,10,-2.465,-2.1234999999999995,1492,-2.2900067024128683,0.0107238605898123,2.3007305630026806
abl1,label,11,-2.1234999999999995,-1.7819999999999991,1488,-1.955981182795699,0.0194892473118279,1.975470430107527
abl1,label,12,-1.7819999999999991,-1.4404999999999992,1405,-1.620341637010676,0.0241992882562277,1.644540925266904
abl1,label,13,-1.4404999999999992,-1.0989999999999993,1045,-1.2862296650717702,0.0535885167464114,1.3398181818181816
abl1,label,14,-1.0989999999999993,-0.7574999999999994,699,-0.9252503576537912,0.0472103004291845,0.9724606580829755
abl1,label,15,-0.7574999999999994,-0.4159999999999995,531,-0.5884369114877589,0.0659133709981167,0.6543502824858757
abl1,label,16,-0.4159999999999995,-0.0744999999999995,353,-0.2577620396600567,0.0906515580736544,0.348413597733711
abl1,label,17,-0.0744999999999995,0.2670000000000003,219,0.0591324200913241,0.1095890410958904,0.0504566210045662
abl1,label,18,0.2670000000000003,0.6085000000000003,68,0.3780882352941175,0.2205882352941176,0.1574999999999999
abl1,label,19,0.6085000000000003,0.95,12,0.75,0.25,0.5
abl1,pose,0,-3.69,-3.4675,1,-3.69,0.0,3.69
abl1,pose,1,-3.4675,-3.245,1,-3.34,0.0,3.34
abl1,pose,2,-3.245,-3.0225,3,-3.1166666666666667,0.0,3.1166666666666667
abl1,pose,3,-3.0225,-2.8,6,-2.9133333333333336,0.0,2.9133333333333336
abl1,pose,4,-2.8,-2.5775,2,-2.725,0.0,2.725
abl1,pose,5,-2.5775,-2.355,8,-2.46875,0.25,2.71875
abl1,pose,6,-2.355,-2.1325,13,-2.2023076923076923,0.0,2.2023076923076923
abl1,pose,7,-2.1325,-1.91,21,-2.003333333333333,0.0476190476190476,2.0509523809523804
