complex_name,protein_path,protein_sequence,ligand_description
abl1_active_000001,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c([H])c(-c2c([H])n(C3([H])C([H])([H])C([H])([H])C3([H])[H])c3nc([H])nc(N([H])[H])c23)c1[H]
abl1_active_000002,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(OC([H])([H])[H])c(Oc2c([H])c([H])c3nn([H])c(-c4nc5c([H])c([H])c(N6C([H])([H])C([H])([H])C([H])([N+]7([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H])C([H])([H])C6([H])[H])c([H])c5n4[H])c3c2[H])c1[H]
abl1_active_000003,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(OC([H])([H])[H])c(Oc2c([H])c([H])c3nn([H])c(-c4nc5c([H])c(N6C([H])([H])C([H])([H])C([H])([N+]7([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H])C([H])([H])C6([H])[H])c([H])c([H])c5n4[H])c3c2[H])c1[H]
abl1_active_000004,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(OC([H])([H])[H])c(Oc2c([H])c([H])c3c(c(-c4nc5c([H])c(N6C([H])([H])C([H])([H])C([H])([N+]7([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H])C([H])([H])C6([H])[H])c([H])c([H])c5n4[H])nn3[H])c2[H])c1[H]
abl1_active_000005,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nc(N([H])c2c([H])c([H])c([H])c(N([H])C(=O)c3c([H])nc([H])c([H])c3[H])c2[H])nc(-c2c([H])nc([H])c([H])c2[H])c1[H]
abl1_active_000006,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c([H])c(-c2c([H])n([C@@]([H])(C([H])([H])O[H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3nc([H])nc(N([H])[H])c23)c1[H]
abl1_active_000007,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c([H])c(-c2c([H])n([C@]([H])(C([H])([H])O[H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3nc([H])nc(N([H])[H])c23)c1[H]
abl1_active_000008,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(Oc2c([H])c([H])c3nn([H])c(-c4nc5c([H])c(N6C([H])([H])C([H])([H])C([H])([N+]7([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H])C([H])([H])C6([H])[H])c([H])c([H])c5n4[H])c3c2[H])c([H])c1[H]
abl1_active_000009,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(Oc2c([H])c([H])c3c(c(-c4nc5c([H])c(N6C([H])([H])C([H])([H])C([H])([N+]7([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H])C([H])([H])C6([H])[H])c([H])c([H])c5n4[H])nn3[H])c2[H])c([H])c1[H]
abl1_active_000010,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([C@]([H])(Br)C([H])([H])n2nc([H])c3c(N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])nc(SC([H])([H])[H])nc32)c([H])c1[H]
