complex_name,protein_path,protein_sequence,ligand_description
abl1_decoy_000001,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])C(=O)C([H])([H])N2C(=O)N([H])[C@]3(C2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])c([H])c([H])c1C(=O)N([H])[H]
abl1_decoy_000002,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]OC([H])([H])C(/N=C(\[H])[C@@]1([H])C(=O)N(c2nc3c([H])c([H])c([H])c([H])c3s2)N([H])C1=C([H])[H])(C([H])([H])O[H])C([H])([H])O[H]
abl1_decoy_000003,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([C@@]2([H])C(C#N)=C(N([H])[H])OC(C([H])([H])[H])=C2C(=O)OC([H])([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])[H]
abl1_decoy_000004,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1nn([H])c2c1[C@]([H])(c1c([H])c([H])c(O[H])c(OC([H])([H])C([H])([H])[H])c1[H])[C@@]([H])(C(=O)OC([H])([H])[H])[C@@](O[H])(C([H])([H])[H])C2([H])[H]
abl1_decoy_000005,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([C@@]2([H])N([H])N=C(c3c(O[H])n([H])c(=S)n(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c3=O)C2([H])[H])c([H])c([H])c1OC([H])([H])[H]
abl1_decoy_000006,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C([H])[C@@]2([H])N(C([H])=C1C(=O)N([H])[H])[C@@]([H])(C(=O)N([H])[H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1F)[C@]2(C#N)C(=O)OC([H])([H])C([H])([H])[H]
abl1_decoy_000007,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(N([H])S(=O)(=O)c2c([H])c([H])c(N([H])C(=O)N([H])[H])c([H])c2[H])c([H])c([H])c1C(=O)OC([H])([H])[H]
abl1_decoy_000008,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nc([H])c([H])c(-c2nn([H])c3c2[C@]([H])(c2c(-c4c([H])c([H])c(F)c([H])c4[H])nn([H])c2[H])C(C#N)=C(N([H])[H])O3)c1[H]
abl1_decoy_000009,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]N([H])c1nc(S[C@@]([H])(C(=O)N([H])c2sc(C([H])([H])[H])c(C([H])([H])[H])c2C(=O)OC([H])([H])[H])C([H])([H])[H])nn1[H]
abl1_decoy_000010,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])SC2=NN([H])[C@@]([H])([C@@]3([H])N=NC4=C3C([H])([H])C([H])([H])C4([H])[H])N2N([H])[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c1[H]
