rank,ligand_id,label,score,ligand_dir,pose_path,status,d_center,d_min_pocket,n_contacts,min_protein_dist,clash_count,pocket_in,pocket_out_strong,clash_flag
1,abl1_active_000240,1,0.76,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000240,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000240/rank1.sdf,ok,1.37789320607273,2.96689660588299,35,2.96689660588299,0,True,False,False
2,abl1_active_000199,1,0.67,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000199,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000199/rank1.sdf,ok,1.261449796096008,2.9096746381683283,55,2.9096746381683283,0,True,False,False
3,abl1_active_000286,1,0.66,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000286,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000286/rank1.sdf,ok,0.6471642435900862,2.9112235881154866,53,2.9112235881154866,0,True,False,False
4,abl1_active_000241,1,0.58,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000241,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000241/rank1.sdf,ok,1.352684850685783,2.8637335158844643,42,2.8637335158844643,0,True,False,False
5,abl1_active_000156,1,0.51,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000156,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000156/rank1.sdf,ok,0.31835698344787355,2.0901322111292386,59,2.0901322111292386,0,True,False,False
6,abl1_active_000070,1,0.5,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000070,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000070/rank1.sdf,ok,1.328749488468963,2.696921064844131,38,2.696921064844131,0,True,False,False
7,abl1_active_000214,1,0.45,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000214,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000214/rank1.sdf,ok,1.4630291804782556,2.9527856627259617,50,2.9527856627259617,0,True,False,False
8,abl1_active_000215,1,0.43,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000215,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000215/rank1.sdf,ok,1.8272758640252162,2.873428560100286,47,2.873428560100286,0,True,False,False
9,abl1_active_000146,1,0.4,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000146,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000146/rank1.sdf,ok,0.3637550048035342,2.624963582604529,94,2.624963582604529,0,True,False,False
10,abl1_active_000250,1,0.39,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000250,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000250/rank1.sdf,ok,0.9829209110125899,2.321705754396969,90,2.321705754396969,0,True,False,False
