ligand_id,pose_exists,pocket_in,frac_atoms_within_4A,min_dist_to_pocket_A,clash_count
abl1_active_000001,True,True,0.9047619047619048,1.3102774553505836,2
abl1_active_000002,True,True,0.8974358974358975,1.2024441816566773,2
abl1_active_000003,True,True,0.7948717948717948,2.0077116575843257,0
abl1_active_000004,True,True,0.7948717948717948,1.8267801701354216,1
abl1_active_000005,True,True,0.7142857142857143,3.098721404063295,0
abl1_active_000006,True,True,0.9655172413793104,0.6504640958577198,5
abl1_active_000007,True,True,0.9655172413793104,1.7923873297923067,1
abl1_active_000008,True,True,0.7027027027027027,2.4205449200541613,0
abl1_active_000009,True,True,0.8108108108108109,2.1384593262440132,0
abl1_active_000010,True,True,0.9230769230769231,1.9225739335588634,1
abl1_active_000011,True,True,1.0,1.5261429389149626,2
abl1_active_000012,True,False,0.030303030303030304,3.9840881127304377,0
abl1_active_000013,True,True,0.9285714285714286,2.763679149250143,0
abl1_active_000014,True,True,0.9285714285714286,2.077688393383378,0
abl1_active_000015,True,True,0.9210526315789473,1.185464997374447,3
abl1_active_000016,True,True,0.7894736842105263,2.079652396435519,0
abl1_active_000017,True,True,0.8888888888888888,0.9044551122084502,3
abl1_active_000018,True,True,0.8421052631578947,2.136949531458337,0
abl1_active_000019,True,True,0.7631578947368421,2.432618186234741,0
abl1_active_000020,True,True,0.8571428571428571,1.547586084843104,5
abl1_active_000021,True,True,0.7435897435897436,1.948073207043309,1
abl1_active_000022,True,True,0.8666666666666667,2.124495754290886,0
abl1_active_000023,True,True,0.8611111111111112,1.678993820715253,1
abl1_active_000024,True,True,0.8333333333333334,2.025434380571239,0
abl1_active_000025,True,True,0.9117647058823529,1.8131143648429915,1
abl1_active_000026,True,True,0.8823529411764706,1.9306622775617681,1
abl1_active_000027,True,False,0.0,5.856883820770224,4
abl1_active_000028,True,True,0.6829268292682927,2.248431119692129,0
abl1_active_000029,True,True,0.6341463414634146,2.1086678401303507,0
abl1_active_000030,True,True,0.8157894736842105,2.313900354380024,0
abl1_active_000031,True,True,0.8157894736842105,1.6277201510087658,1
abl1_active_000032,True,True,0.9230769230769231,2.304018982126667,0
abl1_active_000033,True,True,0.9615384615384616,1.0271617837517129,3
abl1_active_000034,True,False,0.0,7.336180456477336,1
abl1_active_000035,True,False,0.0,5.65684471945271,6
abl1_active_000036,True,True,0.8571428571428571,1.343004638860194,4
abl1_active_000037,True,True,0.9285714285714286,0.6607464263997205,6
abl1_active_000038,True,True,0.8928571428571429,1.8043687261754464,1
abl1_active_000039,True,False,0.0,7.426083711486158,0
abl1_active_000040,True,True,1.0,2.756774580918795,0
abl1_active_000041,True,True,0.9047619047619048,2.091662611417051,0
abl1_active_000042,True,True,1.0,1.0508119051476341,3
abl1_active_000043,True,True,0.8888888888888888,1.3161858645343374,2
abl1_active_000044,True,True,0.8421052631578947,2.4329609717379346,0
abl1_active_000045,True,True,0.8695652173913043,2.965055739779607,0
abl1_active_000046,True,True,0.6216216216216216,2.9359718987074794,0
abl1_active_000047,True,True,0.7567567567567568,1.0529383837623159,5
abl1_active_000048,True,True,0.8378378378378378,2.686472462170421,0
abl1_active_000049,True,True,0.5945945945945946,3.116712537273849,0
abl1_active_000050,True,True,0.7714285714285715,2.4087415822374965,0
abl1_active_000051,True,True,0.9375,2.240822574413244,0
abl1_active_000052,True,True,0.9375,0.6247356721046095,8
abl1_active_000053,True,False,0.03125,3.263780992958933,0
abl1_active_000054,True,True,0.875,2.567650823223437,0
abl1_active_000055,True,True,0.7804878048780488,1.523156502136272,2
abl1_active_000056,True,True,0.7560975609756098,1.8481211134555011,2
abl1_active_000057,True,True,0.7435897435897436,1.8892023237334852,2
abl1_active_000058,True,True,0.6923076923076923,1.8913255774720559,3
abl1_active_000059,True,True,0.7435897435897436,1.4228953686058572,3
abl1_active_000060,True,True,0.6923076923076923,1.7558491905627902,1
abl1_active_000061,True,True,0.7435897435897436,2.025458814688662,0
abl1_active_000062,True,True,0.717948717948718,1.9537396423269935,1
abl1_active_000063,True,True,0.8157894736842105,1.8895424472607116,1
abl1_active_000064,True,True,0.8157894736842105,2.0298790604368526,0
abl1_active_000065,True,True,0.7435897435897436,1.7758405390124437,2
abl1_active_000066,True,True,0.8461538461538461,0.7077260840183881,5
abl1_active_000067,True,True,0.775,1.8857513542352304,1
abl1_active_000068,True,True,0.7,1.5373106680173656,1
abl1_active_000069,True,False,0.0,5.746246630627683,4
abl1_active_000070,True,True,0.7894736842105263,2.696921064844131,0
abl1_active_000071,True,True,0.8947368421052632,2.7859464119038604,0
abl1_active_000072,True,True,0.9166666666666666,1.8138395877254423,1
abl1_active_000073,True,False,0.0,22.233815293152002,0
abl1_active_000074,True,True,0.9130434782608695,1.1326194241668297,4
abl1_active_000075,True,True,0.9655172413793104,1.1715610824878067,3
abl1_active_000076,True,True,0.9655172413793104,1.8542768967983176,1
abl1_active_000077,True,True,0.6428571428571429,1.8586591026866657,2
abl1_active_000078,True,True,0.6666666666666666,1.3492434843274226,2
abl1_active_000079,True,True,0.9032258064516129,1.989540632910021,1
abl1_active_000080,True,True,0.9259259259259259,0.9729257422845816,3
abl1_active_000081,True,True,0.9090909090909091,2.3638198408508226,0
abl1_active_000082,True,True,0.9714285714285714,2.3153545732781398,0
abl1_active_000083,True,True,0.9117647058823529,1.9019436058937178,1
abl1_active_000084,True,True,0.9393939393939394,0.47796002970959783,7
abl1_active_000085,True,True,0.8709677419354839,1.9252442078863659,3
abl1_active_000086,True,True,0.7368421052631579,1.9457016780585878,2
abl1_active_000087,True,True,0.7368421052631579,1.8597336744813768,1
abl1_active_000088,True,True,0.92,2.338310349376233,0
abl1_active_000089,True,True,0.5581395348837209,2.8241298235031613,0
abl1_active_000090,True,True,0.8372093023255814,1.6761928469003802,3
abl1_active_000091,True,True,0.6744186046511628,1.5941254687131776,4
abl1_active_000092,True,False,0.0,4.703116695341504,1
abl1_active_000093,True,True,0.8717948717948718,1.6351632120372581,1
abl1_active_000094,True,True,0.8205128205128205,1.6553030719478545,1
abl1_active_000095,True,True,0.7931034482758621,2.7341083756866698,0
abl1_active_000096,True,True,0.7586206896551724,2.6475963495215793,0
abl1_active_000097,True,True,0.8235294117647058,2.4832591125373926,0
abl1_active_000098,True,True,0.7941176470588235,2.459002728750012,0
abl1_active_000099,True,False,0.0,7.6332431777063166,3
abl1_active_000100,True,True,0.9090909090909091,2.7627155680598023,0
abl1_active_000101,True,True,0.8181818181818182,2.5541120042002854,0
abl1_active_000102,True,True,0.8484848484848485,2.646603818103494,0
abl1_active_000103,True,True,0.8181818181818182,2.4786922862670955,0
abl1_active_000104,True,True,0.8787878787878788,2.614910564436191,0
abl1_active_000105,True,True,0.8529411764705882,1.897243482002244,1
abl1_active_000106,True,True,0.7692307692307693,1.7960513077303784,1
abl1_active_000107,True,True,0.7948717948717948,1.5780291790711631,2
abl1_active_000108,True,True,0.7941176470588235,2.0185333314067413,0
abl1_active_000109,True,True,0.8823529411764706,2.060150472659704,0
abl1_active_000110,True,True,0.84375,2.736155832550478,0
abl1_active_000111,True,True,0.875,2.1262322991620635,0
abl1_active_000112,True,True,0.9142857142857143,0.8217588028125995,3
abl1_active_000113,True,True,0.7435897435897436,2.001580730322912,0
abl1_active_000114,True,True,0.7692307692307693,1.5748388774728692,4
abl1_active_000115,True,True,0.8095238095238095,1.4299932587253683,3
abl1_active_000116,True,True,0.7435897435897436,1.986403949351691,1
abl1_active_000117,True,True,0.7692307692307693,1.4975271917397663,2
abl1_active_000118,True,True,1.0,1.3311574737798675,3
abl1_active_000119,True,True,0.9523809523809523,2.493204333784136,0
abl1_active_000120,True,True,0.95,2.039299357622613,0
abl1_active_000121,True,True,0.8529411764705882,1.4756815374598942,3
abl1_active_000122,True,True,0.8529411764705882,1.5441940875421072,3
abl1_active_000123,True,True,0.9615384615384616,2.0617694584991804,0
abl1_active_000124,True,True,0.8529411764705882,2.307403826814891,0
abl1_active_000125,True,True,0.85,1.479955614199292,1
abl1_active_000126,True,True,0.85,0.646532334844903,4
abl1_active_000127,True,True,0.825,1.7387104531807471,2
abl1_active_000128,True,True,0.7,1.1751164793330067,2
abl1_active_000129,True,True,0.6153846153846154,2.5281452509695717,0
abl1_active_000130,True,True,0.6410256410256411,2.428778804255338,0
abl1_active_000131,True,True,0.717948717948718,2.71012402114737,0
abl1_active_000132,True,True,0.7428571428571429,1.8063716339668305,1
abl1_active_000133,True,True,0.7428571428571429,2.1735227489032622,0
abl1_active_000134,True,True,0.975,1.6024108430736492,3
abl1_active_000135,True,True,0.8333333333333334,2.0746894611001436,0
abl1_active_000136,True,True,0.7777777777777778,2.02919852404835,0
abl1_active_000137,True,False,0.06896551724137931,3.3748841476412172,1
abl1_active_000138,True,False,0.0,9.536992310471891,1
abl1_active_000139,True,True,0.8108108108108109,2.633101230488491,0
abl1_active_000140,True,True,0.8108108108108109,1.8188428794153733,2
abl1_active_000141,True,True,0.7567567567567568,1.4742448711119855,2
abl1_active_000142,True,True,0.7777777777777778,2.68165557258944,0
abl1_active_000143,True,True,0.7777777777777778,2.7234377723752,0
abl1_active_000144,True,True,0.7631578947368421,1.7523420042902593,1
abl1_active_000145,True,True,0.6842105263157895,1.5271529360217984,3
abl1_active_000146,True,True,0.9310344827586207,2.624963582604529,0
abl1_active_000147,True,True,0.7631578947368421,1.9837708158958276,1
abl1_active_000148,True,True,0.868421052631579,2.215729507408339,0
abl1_active_000149,True,True,0.8787878787878788,1.4940206223476309,1
abl1_active_000150,True,True,0.675,1.6887300021021725,1
abl1_active_000151,True,True,0.7,1.9231335497047544,1
abl1_active_000152,True,True,0.9583333333333334,2.0089982528613617,0
abl1_active_000153,True,True,0.9166666666666666,2.5288948673284164,0
abl1_active_000154,True,True,0.9142857142857143,1.8745083782154717,1
abl1_active_000155,True,True,0.8823529411764706,1.7156164781209111,1
abl1_active_000156,True,True,0.9047619047619048,2.0901322111292386,0
abl1_active_000157,True,True,0.8372093023255814,0.9392359022098776,5
abl1_active_000158,True,True,0.8837209302325582,1.670175023762481,3
abl1_active_000159,True,False,0.0,5.637998562433303,2
abl1_active_000160,True,False,0.0,7.279615903328966,1
abl1_active_000161,True,True,0.8,2.329700961496989,0
abl1_active_000162,True,True,0.6756756756756757,2.533071451814968,0
abl1_active_000163,True,True,0.9032258064516129,1.7138610620467463,1
abl1_active_000164,True,True,0.8,1.3794871728290912,3
abl1_active_000165,True,True,0.8611111111111112,1.0117348565706314,4
abl1_active_000166,True,True,0.8055555555555556,1.7888166423644432,1
abl1_active_000167,True,True,0.9743589743589743,1.012771682068567,6
abl1_active_000168,True,True,0.8,2.120550051283863,0
abl1_active_000169,True,True,1.0,1.828940830098121,1
abl1_active_000170,True,False,0.0,4.079441801276249,5
abl1_active_000171,True,True,0.7,1.8872803819252717,4
abl1_active_000172,True,True,0.9545454545454546,2.316021696789562,0
abl1_active_000173,True,True,0.7631578947368421,1.7721978585925462,4
abl1_active_000174,True,True,0.717948717948718,1.9234354005268801,1
abl1_active_000175,True,True,0.717948717948718,1.6313735255912427,1
abl1_active_000176,True,True,0.8205128205128205,1.988064508510731,1
abl1_active_000177,True,False,0.28205128205128205,2.440727983614725,1
abl1_active_000178,True,True,0.9473684210526315,0.4108145201912902,7
abl1_active_000179,True,True,0.8157894736842105,1.8672964895805921,1
abl1_active_000180,True,True,0.7027027027027027,2.129519565535851,0
abl1_active_000181,True,True,0.8461538461538461,1.5589194142097276,2
abl1_active_000182,True,False,0.0,4.885133909116514,0
abl1_active_000183,True,False,0.0,4.196835628184646,4
abl1_active_000184,True,True,0.6923076923076923,2.539865929532502,0
abl1_active_000185,True,False,0.0,7.215503222229201,1
abl1_active_000186,True,True,0.9310344827586207,0.7863258421290732,10
abl1_active_000187,True,True,0.5882352941176471,2.235657811472945,0
abl1_active_000188,True,True,0.8928571428571429,1.4971495883845407,2
abl1_active_000189,True,True,0.8823529411764706,1.4621871357661442,2
abl1_active_000190,True,False,0.29545454545454547,1.2742427005872945,1
abl1_active_000191,True,True,0.8409090909090909,0.7093323480569598,9
abl1_active_000192,True,True,0.8409090909090909,0.8550865511747903,7
abl1_active_000193,True,True,1.0,1.4904906138584026,1
abl1_active_000194,True,False,0.0,4.532231323531489,2
abl1_active_000195,True,False,0.0,4.116450413888161,1
abl1_active_000196,True,False,0.06060606060606061,3.94229016689538,0
abl1_active_000197,True,False,0.030303030303030304,3.668214244015745,2
abl1_active_000198,True,True,0.8125,2.626862727665838,0
abl1_active_000199,True,True,0.9,2.9096746381683283,0
abl1_active_000200,True,True,0.9,1.8093910191000726,1
abl1_active_000201,True,True,0.9411764705882353,1.930040191291362,1
abl1_active_000202,True,True,0.8823529411764706,1.9614242248937375,1
abl1_active_000203,True,True,0.9642857142857143,1.260024515634517,3
abl1_active_000204,True,True,0.8648648648648649,1.7540798927072843,1
abl1_active_000205,True,True,0.9024390243902439,0.3655712926366076,5
abl1_active_000206,True,True,0.8780487804878049,1.059472099679835,5
abl1_active_000207,True,False,0.5365853658536586,2.3225980711263836,1
abl1_active_000208,True,True,0.6829268292682927,1.4018060814534954,3
abl1_active_000209,True,False,0.0,21.336256248226864,1
abl1_active_000210,True,False,0.7804878048780488,0.41525156230891996,7
abl1_active_000211,True,True,0.7352941176470589,2.1898976528596035,0
