complex_name,protein_path,protein_sequence,ligand_description
abl1_decoy_000315,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c(C(=O)N([H])N([H])c2c3c([H])c([H])c([H])c([H])c3nc3c([H])c([H])c([H])c([H])c23)c(O[H])c1[H]
abl1_decoy_000331,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C([H])[C@]2([H])N=Nc3c(nc4sc(C(=O)N([H])[H])c(N([H])[H])c4c3-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])[C@@]2([H])C([H])=C1[H]
abl1_decoy_000891,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=NC2=NC([H])=N[C@]2([H])C(N2N([H])C(C([H])([H])[H])=C3[C@]2([H])N([H])C(=O)C([H])([H])S[C@]3([H])c2c(Cl)c([H])c([H])c([H])c2Cl)=N1
abl1_decoy_001429,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C([H])([H])n2c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])[C@]([H])(c4c([H])c([H])c5c(c4[H])OC([H])([H])C([H])([H])O5)C([H])([H])[H])C([H])([H])C3([H])[H])[n+]([H])c3c([H])c([H])c([H])c([H])c32)c(F)c1[H]
abl1_decoy_001900,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc([C@@]([H])(C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])c(S(=O)(=O)[N-]c3c([H])c([H])c(Br)c([H])c3[H])c2[H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
abl1_decoy_002245,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]/C(=C(/[H])S(=O)(=O)Oc1c([H])c([H])c(-c2c(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n3c([H])c([H])c([H])c([H])c3[n+]2[H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
abl1_decoy_002523,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc(C([H])([H])[N@@+]([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)[C@@]([H])(c2c([H])c3c([H])c([H])c([H])c(C([H])([H])[H])c3n([H])c2=O)c2nnnn2C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H]
abl1_decoy_002704,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c([C@@]([H])(N([H])C(=O)c2c([H])n([H])c3c([H])c([H])c(S(=O)(=O)N([H])c4c([H])c([H])c([H])c(OC([H])([H])[H])c4[H])c([H])c3c2=O)C([H])([H])[H])c([H])c1[H]
abl1_decoy_002809,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=N[C@]2([H])C([H])=C([H])C(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N3C([H])([H])C([H])([H])C4=c5c([H])c([H])c([H])c([H])c5=[N+]([H])[C@@]4([H])C3([H])[H])=C([H])C2=C1[H]
abl1_decoy_002865,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=N[C@]2([H])C([H])=C([H])C([C@@]([H])(N([H])c3nc(C4=C([H])N([H])N(C([H])([H])C([H])([H])C([H])([H])[H])[C@]4([H])C([H])([H])[H])c([H])c([H])[n+]3[H])C([H])([H])[H])=C([H])C2=C1[H]
