ligand_id,label,score,has_rank1,n_ranks,rank_used
abl1_active_000001,1,-0.59,1,10,1
abl1_active_000002,1,-0.88,1,10,1
abl1_active_000003,1,-0.58,1,10,1
abl1_active_000004,1,-0.73,1,10,1
abl1_active_000005,1,-0.59,1,10,1
abl1_active_000006,1,-2.12,1,10,1
abl1_active_000007,1,-0.38,1,10,1
abl1_active_000008,1,-0.41,1,10,1
abl1_active_000009,1,-0.4,1,10,1
abl1_active_000010,1,-0.83,1,10,1
abl1_active_000011,1,-0.87,1,10,1
abl1_active_000012,1,-1.76,1,10,1
abl1_active_000013,1,-0.05,1,10,1
abl1_active_000014,1,-0.17,1,10,1
abl1_active_000015,1,-1.66,1,10,1
abl1_active_000016,1,-1.24,1,10,1
abl1_active_000017,1,-1.86,1,10,1
abl1_active_000018,1,-0.27,1,10,1
abl1_active_000019,1,-0.0,1,10,1
abl1_active_000020,1,-1.56,1,10,1
abl1_active_000021,1,-1.61,1,10,1
abl1_active_000022,1,-0.08,1,10,1
abl1_active_000023,1,-0.19,1,10,1
abl1_active_000024,1,-0.13,1,10,1
abl1_active_000025,1,-0.31,1,10,1
abl1_active_000026,1,-0.06,1,10,1
abl1_active_000027,1,-1.97,1,10,1
abl1_active_000028,1,-1.08,1,10,1
abl1_active_000029,1,-1.95,1,10,1
abl1_active_000030,1,-1.62,1,10,1
abl1_active_000031,1,-2.02,1,10,1
abl1_active_000032,1,-0.18,1,10,1
abl1_active_000033,1,-0.93,1,10,1
abl1_active_000034,1,-1.68,1,10,1
abl1_active_000035,1,-1.58,1,10,1
abl1_active_000036,1,-1.6,1,10,1
abl1_active_000037,1,-2.07,1,10,1
abl1_active_000038,1,-0.44,1,10,1
abl1_active_000039,1,-1.75,1,10,1
abl1_active_000040,1,0.36,1,10,1
abl1_active_000041,1,0.38,1,10,1
abl1_active_000042,1,-0.93,1,10,1
abl1_active_000043,1,-1.39,1,10,1
abl1_active_000044,1,-0.77,1,10,1
abl1_active_000045,1,0.31,1,10,1
abl1_active_000046,1,-1.64,1,10,1
abl1_active_000047,1,-2.49,1,10,1
abl1_active_000048,1,-1.44,1,10,1
abl1_active_000049,1,-1.75,1,10,1
abl1_active_000050,1,-0.56,1,10,1
abl1_active_000051,1,-0.38,1,10,1
abl1_active_000052,1,-2.22,1,10,1
abl1_active_000053,1,-2.14,1,10,1
abl1_active_000054,1,-0.06,1,10,1
abl1_active_000055,1,-1.42,1,10,1
abl1_active_000056,1,-1.4,1,10,1
abl1_active_000057,1,-1.41,1,10,1
abl1_active_000058,1,-1.71,1,10,1
abl1_active_000059,1,-1.2,1,10,1
abl1_active_000060,1,-1.37,1,10,1
abl1_active_000061,1,-1.31,1,10,1
abl1_active_000062,1,-1.28,1,10,1
abl1_active_000063,1,-0.54,1,10,1
abl1_active_000064,1,-0.57,1,10,1
abl1_active_000065,1,-1.26,1,10,1
abl1_active_000066,1,-1.34,1,10,1
abl1_active_000067,1,-1.14,1,10,1
abl1_active_000068,1,-1.42,1,10,1
abl1_active_000069,1,-1.97,1,10,1
abl1_active_000070,1,0.5,1,10,1
abl1_active_000071,1,0.22,1,10,1
abl1_active_000072,1,-1.24,1,10,1
abl1_active_000073,1,-1.75,1,10,1
abl1_active_000074,1,-0.06,1,10,1
abl1_active_000075,1,-1.07,1,10,1
abl1_active_000076,1,-0.78,1,10,1
abl1_active_000077,1,-1.94,1,10,1
abl1_active_000078,1,-1.94,1,10,1
abl1_active_000079,1,-1.02,1,10,1
abl1_active_000080,1,-1.14,1,10,1
abl1_active_000081,1,-0.16,1,10,1
abl1_active_000082,1,-1.26,1,10,1
abl1_active_000083,1,-0.35,1,10,1
abl1_active_000084,1,-3.19,1,10,1
abl1_active_000085,1,-1.37,1,10,1
abl1_active_000086,1,-1.53,1,10,1
abl1_active_000087,1,-1.28,1,10,1
abl1_active_000088,1,0.04,1,10,1
abl1_active_000089,1,-1.7,1,10,1
abl1_active_000090,1,-2.72,1,10,1
abl1_active_000091,1,-3.07,1,10,1
abl1_active_000092,1,-2.73,1,10,1
abl1_active_000093,1,-1.2,1,10,1
abl1_active_000094,1,-1.1,1,10,1
abl1_active_000095,1,0.25,1,10,1
abl1_active_000096,1,0.31,1,10,1
abl1_active_000097,1,0.13,1,10,1
abl1_active_000098,1,0.26,1,10,1
abl1_active_000099,1,-1.95,1,10,1
abl1_active_000100,1,-0.2,1,10,1
abl1_active_000101,1,-0.15,1,10,1
abl1_active_000102,1,-0.09,1,10,1
abl1_active_000103,1,-0.18,1,10,1
abl1_active_000104,1,-0.13,1,10,1
abl1_active_000105,1,-0.48,1,10,1
abl1_active_000106,1,-1.26,1,10,1
abl1_active_000107,1,-1.55,1,10,1
abl1_active_000108,1,-0.53,1,10,1
abl1_active_000109,1,-0.37,1,10,1
abl1_active_000110,1,0.16,1,10,1
abl1_active_000111,1,-1.16,1,10,1
abl1_active_000112,1,-2.47,1,10,1
abl1_active_000113,1,-1.29,1,10,1
abl1_active_000114,1,-1.26,1,10,1
abl1_active_000115,1,-2.17,1,10,1
abl1_active_000116,1,-1.44,1,10,1
abl1_active_000117,1,-1.32,1,10,1
abl1_active_000118,1,-0.9,1,10,1
abl1_active_000119,1,0.12,1,10,1
abl1_active_000120,1,0.34,1,10,1
abl1_active_000121,1,-1.37,1,10,1
abl1_active_000122,1,-1.71,1,10,1
abl1_active_000123,1,-0.42,1,10,1
abl1_active_000124,1,-0.54,1,10,1
abl1_active_000125,1,-0.98,1,10,1
abl1_active_000126,1,-1.18,1,10,1
abl1_active_000127,1,-0.89,1,10,1
abl1_active_000128,1,-1.28,1,10,1
abl1_active_000129,1,-0.89,1,10,1
abl1_active_000130,1,-0.6,1,10,1
abl1_active_000131,1,-0.45,1,10,1
abl1_active_000132,1,-0.2,1,10,1
abl1_active_000133,1,-0.22,1,10,1
abl1_active_000134,1,-2.24,1,10,1
abl1_active_000135,1,-0.91,1,10,1
abl1_active_000136,1,-0.65,1,10,1
abl1_active_000137,1,-1.45,1,10,1
abl1_active_000138,1,-2.05,1,10,1
abl1_active_000139,1,-0.46,1,10,1
abl1_active_000140,1,-0.97,1,10,1
abl1_active_000141,1,-1.42,1,10,1
abl1_active_000142,1,0.38,1,10,1
abl1_active_000143,1,0.32,1,10,1
abl1_active_000144,1,-1.32,1,10,1
abl1_active_000145,1,-1.84,1,10,1
abl1_active_000146,1,0.4,1,10,1
abl1_active_000147,1,-0.42,1,10,1
abl1_active_000148,1,-0.47,1,10,1
abl1_active_000149,1,-0.91,1,10,1
abl1_active_000150,1,-1.45,1,10,1
abl1_active_000151,1,-1.3,1,10,1
abl1_active_000152,1,0.24,1,10,1
abl1_active_000153,1,0.12,1,10,1
abl1_active_000154,1,-0.93,1,10,1
abl1_active_000155,1,-1.08,1,10,1
abl1_active_000156,1,0.51,1,10,1
abl1_active_000157,1,-1.54,1,10,1
abl1_active_000158,1,-1.29,1,10,1
abl1_active_000159,1,-3.09,1,10,1
abl1_active_000160,1,-2.08,1,10,1
abl1_active_000161,1,-0.08,1,10,1
abl1_active_000162,1,-0.66,1,10,1
abl1_active_000163,1,-0.48,1,10,1
abl1_active_000164,1,-1.55,1,10,1
abl1_active_000165,1,-1.59,1,10,1
abl1_active_000166,1,-0.66,1,10,1
abl1_active_000167,1,-2.51,1,10,1
abl1_active_000168,1,-0.68,1,10,1
abl1_active_000169,1,-1.13,1,10,1
abl1_active_000170,1,-2.99,1,10,1
abl1_active_000171,1,-1.74,1,10,1
abl1_active_000172,1,0.11,1,10,1
abl1_active_000173,1,-1.66,1,10,1
abl1_active_000174,1,-1.28,1,10,1
abl1_active_000175,1,-1.33,1,10,1
abl1_active_000176,1,-1.37,1,10,1
abl1_active_000177,1,-2.04,1,10,1
abl1_active_000178,1,-3.0,1,10,1
abl1_active_000179,1,-1.07,1,10,1
abl1_active_000180,1,-1.75,1,10,1
abl1_active_000181,1,-2.14,1,10,1
abl1_active_000182,1,-1.9,1,10,1
abl1_active_000183,1,-1.94,1,10,1
abl1_active_000184,1,-2.27,1,10,1
abl1_active_000185,1,-1.79,1,10,1
abl1_active_000186,1,-2.15,1,10,1
abl1_active_000187,1,-1.0,1,10,1
abl1_active_000188,1,-1.41,1,10,1
abl1_active_000189,1,-1.32,1,10,1
abl1_active_000190,1,-2.02,1,10,1
abl1_active_000191,1,-2.28,1,10,1
abl1_active_000192,1,-2.1,1,10,1
abl1_active_000193,1,-0.67,1,10,1
