ligand_id,status,err_file,matched_line,target_from_fname,split_from_fname,jobid_from_fname
abl1_decoy_000264,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 04:08:08 KST] WARNING -Failed on ['abl1_decoy_000264']: No edges and no nodes,,,
abl1_decoy_000315,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"314it [2:05:04, 25.09s/it][2025-Dec-29 04:26:35 KST] WARNING -Failed on ['abl1_decoy_000315']: No edges and no nodes",,,
abl1_decoy_000911,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"910it [6:54:43, 32.66s/it][2025-Dec-29 09:16:14 KST] WARNING -Failed on ['abl1_decoy_000911']: No edges and no nodes",,,
abl1_decoy_001119,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 11:02:31 KST] WARNING -Failed on ['abl1_decoy_001119']: No edges and no nodes,,,
abl1_decoy_001429,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 13:45:19 KST] WARNING -Failed on ['abl1_decoy_001429']: No edges and no nodes,,,
abl1_decoy_001900,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 17:38:58 KST] WARNING -Failed on ['abl1_decoy_001900']: No edges and no nodes,,,
abl1_decoy_001907,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 17:41:56 KST] WARNING -Failed on ['abl1_decoy_001907']: No edges and no nodes,,,
abl1_decoy_002119,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"2118it [17:14:48, 36.75s/it][2025-Dec-29 19:36:19 KST] WARNING -Failed on ['abl1_decoy_002119']: No edges and no nodes",,,
abl1_decoy_002245,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 20:39:52 KST] WARNING -Failed on ['abl1_decoy_002245']: No edges and no nodes,,,
abl1_decoy_002346,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"2345it [19:08:04, 33.62s/it][2025-Dec-29 21:29:36 KST] WARNING -Failed on ['abl1_decoy_002346']: No edges and no nodes",,,
abl1_decoy_002523,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-29 23:05:09 KST] WARNING -Failed on ['abl1_decoy_002523']: No edges and no nodes,,,
abl1_decoy_002704,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"2703it [22:18:34, 32.61s/it][2025-Dec-30 00:40:06 KST] WARNING -Failed on ['abl1_decoy_002704']: No edges and no nodes",,,
abl1_decoy_003098,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 03:49:32 KST] WARNING -Failed on ['abl1_decoy_003098']: No edges and no nodes,,,
abl1_decoy_003257,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 05:11:01 KST] WARNING -Failed on ['abl1_decoy_003257']: No edges and no nodes,,,
abl1_decoy_003803,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 09:48:14 KST] WARNING -Failed on ['abl1_decoy_003803']: No edges and no nodes,,,
abl1_decoy_003804,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 09:48:19 KST] WARNING -Failed on ['abl1_decoy_003804']: No edges and no nodes,,,
abl1_decoy_003805,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 09:48:24 KST] WARNING -Failed on ['abl1_decoy_003805']: No edges and no nodes,,,
abl1_decoy_003826,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 09:58:05 KST] WARNING -Failed on ['abl1_decoy_003826']: No edges and no nodes,,,
abl1_decoy_003871,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"3870it [31:58:04, 29.44s/it][2025-Dec-30 10:19:36 KST] WARNING -Failed on ['abl1_decoy_003871']: No edges and no nodes",,,
abl1_decoy_003970,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"3969it [32:47:22, 26.09s/it][2025-Dec-30 11:08:54 KST] WARNING -Failed on ['abl1_decoy_003970']: No edges and no nodes",,,
abl1_decoy_004025,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 11:35:09 KST] WARNING -Failed on ['abl1_decoy_004025']: No edges and no nodes,,,
abl1_decoy_004328,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 13:47:19 KST] WARNING -Failed on ['abl1_decoy_004328']: No edges and no nodes,,,
abl1_decoy_004354,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 13:58:06 KST] WARNING -Failed on ['abl1_decoy_004354']: No edges and no nodes,,,
abl1_decoy_004481,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 14:55:10 KST] WARNING -Failed on ['abl1_decoy_004481']: No edges and no nodes,,,
abl1_decoy_005143,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-30 19:34:35 KST] WARNING -Failed on ['abl1_decoy_005143']: No edges and no nodes,,,
abl1_decoy_005375,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"5374it [42:49:40, 24.06s/it][2025-Dec-30 21:11:11 KST] WARNING -Failed on ['abl1_decoy_005375']: No edges and no nodes",,,
abl1_decoy_006132,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 02:45:36 KST] WARNING -Failed on ['abl1_decoy_006132']: No edges and no nodes,,,
abl1_decoy_006190,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 03:13:19 KST] WARNING -Failed on ['abl1_decoy_006190']: No edges and no nodes,,,
abl1_decoy_006424,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 05:15:27 KST] WARNING -Failed on ['abl1_decoy_006424']: No edges and no nodes,,,
abl1_decoy_006477,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 05:43:17 KST] WARNING -Failed on ['abl1_decoy_006477']: No edges and no nodes,,,
abl1_decoy_006798,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"6797it [54:04:35, 26.67s/it][2025-Dec-31 08:26:06 KST] WARNING -Failed on ['abl1_decoy_006798']: No edges and no nodes",,,
abl1_decoy_006835,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,"6834it [54:20:56, 27.93s/it][2025-Dec-31 08:42:27 KST] WARNING -Failed on ['abl1_decoy_006835']: No edges and no nodes",,,
abl1_decoy_006864,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 08:56:02 KST] WARNING -Failed on ['abl1_decoy_006864']: No edges and no nodes,,,
abl1_decoy_006944,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 09:34:27 KST] WARNING -Failed on ['abl1_decoy_006944']: No edges and no nodes,,,
abl1_decoy_007029,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 10:18:39 KST] WARNING -Failed on ['abl1_decoy_007029']: No edges and no nodes,,,
abl1_decoy_007088,fail,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/logs/diffdock_abl1_dec_104138.err,[2025-Dec-31 10:49:33 KST] WARNING -Failed on ['abl1_decoy_007088']: No edges and no nodes,,,
