target,ligand_id,label,success,status,confidence,pocket_in,frac_atoms_within_4A,min_dist_to_pocket_A,COMdist_A,clash_count
abl1,abl1_active_000001,1,1,ok,-0.59,True,0.9047619047619048,1.3102774553505836,0.7302919530675193,2
abl1,abl1_active_000002,1,1,ok,-0.88,True,0.8974358974358975,1.202444181656677,3.235636104973401,2
abl1,abl1_active_000003,1,1,ok,-0.58,True,0.7948717948717948,2.0077116575843257,3.0786439565192576,0
abl1,abl1_active_000004,1,1,ok,-0.73,True,0.7948717948717948,1.8267801701354216,3.156977058953853,1
abl1,abl1_active_000005,1,1,ok,-0.59,True,0.7142857142857143,3.098721404063295,5.878344566848527,0
abl1,abl1_active_000006,1,1,ok,-2.12,True,0.9655172413793104,0.6504640958577198,1.2790200714325133,5
abl1,abl1_active_000007,1,1,ok,-0.38,True,0.9655172413793104,1.7923873297923067,0.6040760315970646,1
abl1,abl1_active_000008,1,1,ok,-0.41,True,0.7027027027027027,2.4205449200541613,3.642835739096401,0
abl1,abl1_active_000009,1,1,ok,-0.4,True,0.8108108108108109,2.138459326244013,3.680142236501416,0
abl1,abl1_active_000010,1,1,ok,-0.83,True,0.9230769230769232,1.9225739335588636,0.5352317558880438,1
abl1,abl1_active_000011,1,1,ok,-0.87,True,1.0,1.5261429389149626,1.3583860436847832,2
abl1,abl1_active_000012,1,1,ok,-1.76,False,0.0303030303030303,3.9840881127304377,18.070400793954157,0
abl1,abl1_active_000013,1,1,ok,-0.05,True,0.9285714285714286,2.763679149250143,0.6541692162753067,0
abl1,abl1_active_000014,1,1,ok,-0.17,True,0.9285714285714286,2.077688393383378,1.3191593491641087,0
abl1,abl1_active_000015,1,1,ok,-1.66,True,0.9210526315789472,1.185464997374447,3.4802893510285804,3
abl1,abl1_active_000016,1,1,ok,-1.24,True,0.7894736842105263,2.079652396435519,3.5553320114523754,0
abl1,abl1_active_000017,1,1,ok,-1.86,True,0.8888888888888888,0.9044551122084502,1.5942238609408736,3
abl1,abl1_active_000018,1,1,ok,-0.27,True,0.8421052631578947,2.136949531458337,3.105454119298501,0
abl1,abl1_active_000019,1,1,ok,-0.0,True,0.7631578947368421,2.432618186234741,3.2678071944800964,0
abl1,abl1_active_000020,1,1,ok,-1.56,True,0.8571428571428571,1.547586084843104,5.665607781922647,5
abl1,abl1_active_000021,1,1,ok,-1.61,True,0.7435897435897436,1.948073207043309,6.277220069411357,1
abl1,abl1_active_000022,1,1,ok,-0.08,True,0.8666666666666667,2.124495754290886,1.7960337167054006,0
abl1,abl1_active_000023,1,1,ok,-0.19,True,0.8611111111111112,1.678993820715253,2.127098829302087,1
abl1,abl1_active_000024,1,1,ok,-0.13,True,0.8333333333333334,2.025434380571239,2.198189517508588,0
abl1,abl1_active_000025,1,1,ok,-0.31,True,0.9117647058823528,1.8131143648429917,0.4117097818195032,1
abl1,abl1_active_000026,1,1,ok,-0.06,True,0.8823529411764706,1.930662277561768,0.4841076049252828,1
abl1,abl1_active_000027,1,1,ok,-1.97,False,0.0,5.856883820770224,20.16427306712056,4
abl1,abl1_active_000028,1,1,ok,-1.08,True,0.6829268292682927,2.248431119692129,3.5204288450118666,0
abl1,abl1_active_000029,1,1,ok,-1.95,True,0.6341463414634146,2.1086678401303507,6.850835157207511,0
abl1,abl1_active_000030,1,1,ok,-1.62,True,0.8157894736842105,2.313900354380024,3.416303619353336,0
abl1,abl1_active_000031,1,1,ok,-2.02,True,0.8157894736842105,1.6277201510087658,2.571714922445069,1
abl1,abl1_active_000032,1,1,ok,-0.18,True,0.9230769230769232,2.304018982126667,0.6987078496077737,0
