rank,ligand_id,label,score
1,abl1_decoy_000255,0,0.95
2,abl1_decoy_000622,0,0.88
3,abl1_decoy_005715,0,0.85
4,abl1_decoy_000160,0,0.78
5,abl1_active_000240,1,0.76
6,abl1_decoy_005716,0,0.73
7,abl1_decoy_008737,0,0.72
8,abl1_decoy_000605,0,0.72
9,abl1_active_000199,1,0.67
10,abl1_active_000286,1,0.66
11,abl1_decoy_005665,0,0.66
12,abl1_decoy_005516,0,0.62
13,abl1_decoy_003489,0,0.59
14,abl1_decoy_003521,0,0.58
15,abl1_decoy_005752,0,0.58
16,abl1_active_000241,1,0.58
17,abl1_decoy_010459,0,0.56
18,abl1_decoy_004462,0,0.53
19,abl1_decoy_000263,0,0.51
20,abl1_active_000156,1,0.51
21,abl1_active_000070,1,0.5
22,abl1_decoy_010441,0,0.48
23,abl1_decoy_000173,0,0.48
24,abl1_decoy_008761,0,0.47
25,abl1_decoy_010687,0,0.47
26,abl1_decoy_005499,0,0.46
27,abl1_active_000214,1,0.45
28,abl1_decoy_005462,0,0.43
29,abl1_active_000215,1,0.43
30,abl1_decoy_005506,0,0.42
31,abl1_active_000146,1,0.4
32,abl1_active_000250,1,0.39
33,abl1_decoy_008762,0,0.39
34,abl1_decoy_004244,0,0.38
35,abl1_decoy_000615,0,0.38
36,abl1_active_000041,1,0.38
37,abl1_active_000142,1,0.38
38,abl1_decoy_010278,0,0.38
39,abl1_decoy_005769,0,0.37
40,abl1_decoy_000844,0,0.37
41,abl1_decoy_008499,0,0.37
42,abl1_active_000272,1,0.37
43,abl1_decoy_010691,0,0.36
44,abl1_decoy_010332,0,0.36
45,abl1_active_000040,1,0.36
46,abl1_decoy_000256,0,0.36
47,abl1_decoy_008774,0,0.36
48,abl1_decoy_008764,0,0.36
49,abl1_decoy_000318,0,0.35
50,abl1_decoy_003005,0,0.35
51,abl1_decoy_003006,0,0.35
52,abl1_decoy_008247,0,0.35
53,abl1_decoy_005203,0,0.34
54,abl1_decoy_000251,0,0.34
55,abl1_decoy_000197,0,0.34
56,abl1_decoy_000187,0,0.34
57,abl1_active_000120,1,0.34
58,abl1_decoy_000162,0,0.33
59,abl1_decoy_007651,0,0.33
60,abl1_decoy_000273,0,0.33
61,abl1_active_000143,1,0.32
62,abl1_decoy_005544,0,0.32
63,abl1_decoy_005460,0,0.32
64,abl1_decoy_008711,0,0.32
65,abl1_active_000096,1,0.31
66,abl1_active_000045,1,0.31
67,abl1_decoy_008235,0,0.3
68,abl1_decoy_008665,0,0.29
69,abl1_decoy_005709,0,0.29
70,abl1_decoy_000254,0,0.29
71,abl1_decoy_004484,0,0.29
72,abl1_decoy_004996,0,0.29
73,abl1_decoy_004510,0,0.28
74,abl1_decoy_005809,0,0.28
75,abl1_decoy_005612,0,0.28
76,abl1_decoy_008500,0,0.28
77,abl1_decoy_008749,0,0.28
78,abl1_decoy_000608,0,0.28
79,abl1_decoy_005695,0,0.27
80,abl1_decoy_008777,0,0.27
81,abl1_decoy_004878,0,0.26
82,abl1_active_000098,1,0.26
83,abl1_decoy_005196,0,0.26
84,abl1_decoy_005669,0,0.26
85,abl1_decoy_005331,0,0.26
86,abl1_decoy_002985,0,0.25
87,abl1_decoy_005532,0,0.25
88,abl1_active_000095,1,0.25
89,abl1_decoy_005055,0,0.24
90,abl1_decoy_005190,0,0.24
91,abl1_decoy_000816,0,0.24
92,abl1_active_000152,1,0.24
93,abl1_decoy_008739,0,0.23
94,abl1_decoy_004876,0,0.23
95,abl1_decoy_010322,0,0.23
96,abl1_decoy_006680,0,0.23
97,abl1_decoy_005793,0,0.23
98,abl1_decoy_009891,0,0.23
99,abl1_decoy_003015,0,0.23
100,abl1_decoy_005817,0,0.22
101,abl1_active_000071,1,0.22
102,abl1_decoy_005169,0,0.22
103,abl1_decoy_004757,0,0.21
104,abl1_decoy_005667,0,0.21
105,abl1_decoy_005819,0,0.21
106,abl1_decoy_000236,0,0.21
107,abl1_decoy_008773,0,0.21
108,abl1_decoy_009904,0,0.21
109,abl1_decoy_005733,0,0.2
110,abl1_decoy_001442,0,0.19
111,abl1_decoy_000202,0,0.19
112,abl1_decoy_004681,0,0.18
113,abl1_decoy_000859,0,0.18
114,abl1_decoy_003505,0,0.18
115,abl1_decoy_004540,0,0.18
116,abl1_decoy_004442,0,0.18
117,abl1_decoy_000188,0,0.17
118,abl1_decoy_005608,0,0.16
119,abl1_decoy_009997,0,0.16
120,abl1_active_000110,1,0.16
121,abl1_decoy_000274,0,0.16
122,abl1_decoy_000281,0,0.16
123,abl1_decoy_002914,0,0.16
124,abl1_decoy_000166,0,0.15
125,abl1_decoy_000902,0,0.15
126,abl1_decoy_008626,0,0.15
127,abl1_decoy_004916,0,0.15
128,abl1_decoy_004458,0,0.15
129,abl1_decoy_008099,0,0.15
130,abl1_decoy_000172,0,0.14
131,abl1_active_000248,1,0.14
132,abl1_decoy_000111,0,0.14
133,abl1_active_000097,1,0.13
134,abl1_decoy_007231,0,0.13
135,abl1_decoy_005258,0,0.13
136,abl1_decoy_004949,0,0.13
137,abl1_decoy_009871,0,0.13
138,abl1_active_000119,1,0.12
139,abl1_decoy_005816,0,0.12
140,abl1_decoy_000620,0,0.12
141,abl1_decoy_010507,0,0.12
142,abl1_active_000153,1,0.12
143,abl1_decoy_005521,0,0.12
144,abl1_decoy_004867,0,0.12
145,abl1_decoy_005561,0,0.12
146,abl1_active_000249,1,0.12
147,abl1_active_000172,1,0.11
148,abl1_decoy_009877,0,0.11
149,abl1_decoy_005675,0,0.11
150,abl1_decoy_004943,0,0.11
151,abl1_decoy_005501,0,0.11
152,abl1_decoy_009739,0,0.11
153,abl1_decoy_010474,0,0.11
154,abl1_decoy_008798,0,0.1
155,abl1_decoy_005706,0,0.1
156,abl1_decoy_008215,0,0.1
157,abl1_decoy_000301,0,0.09
158,abl1_decoy_002979,0,0.09
159,abl1_decoy_000209,0,0.09
160,abl1_decoy_010455,0,0.09
161,abl1_decoy_004564,0,0.09
162,abl1_decoy_005790,0,0.09
163,abl1_decoy_005756,0,0.09
164,abl1_decoy_003454,0,0.09
165,abl1_decoy_008457,0,0.09
166,abl1_decoy_005680,0,0.08
167,abl1_decoy_000856,0,0.08
168,abl1_decoy_000609,0,0.08
169,abl1_decoy_008806,0,0.08
170,abl1_decoy_003504,0,0.08
171,abl1_active_000258,1,0.08
172,abl1_decoy_005434,0,0.07
173,abl1_decoy_004894,0,0.07
174,abl1_decoy_005086,0,0.06
175,abl1_decoy_006621,0,0.06
176,abl1_decoy_010302,0,0.06
177,abl1_active_000252,1,0.05
178,abl1_decoy_002993,0,0.05
179,abl1_decoy_000120,0,0.05
180,abl1_decoy_005479,0,0.05
181,abl1_decoy_000332,0,0.05
182,abl1_decoy_008759,0,0.05
183,abl1_decoy_008735,0,0.05
184,abl1_decoy_009869,0,0.04
185,abl1_decoy_008745,0,0.04
186,abl1_decoy_007586,0,0.04
187,abl1_decoy_006206,0,0.04
188,abl1_decoy_002988,0,0.04
189,abl1_decoy_003500,0,0.04
190,abl1_decoy_009801,0,0.04
191,abl1_active_000088,1,0.04
192,abl1_decoy_010589,0,0.03
193,abl1_decoy_005548,0,0.03
194,abl1_decoy_000175,0,0.03
195,abl1_decoy_000159,0,0.03
196,abl1_decoy_006374,0,0.03
197,abl1_decoy_002980,0,0.03
198,abl1_decoy_008496,0,0.02
199,abl1_decoy_004045,0,0.02
200,abl1_decoy_004465,0,0.02
201,abl1_decoy_008631,0,0.02
202,abl1_decoy_000826,0,0.02
203,abl1_decoy_007324,0,0.02
204,abl1_decoy_002719,0,0.02
205,abl1_decoy_004046,0,0.01
206,abl1_decoy_005696,0,0.01
207,abl1_decoy_004482,0,0.01
208,abl1_decoy_000932,0,0.01
209,abl1_decoy_004845,0,0.01
210,abl1_active_000251,1,0.01
211,abl1_decoy_005399,0,0.01
212,abl1_decoy_004558,0,0.01
213,abl1_decoy_000198,0,0.01
214,abl1_decoy_000182,0,0.0
215,abl1_decoy_002907,0,0.0
216,abl1_decoy_005068,0,0.0
217,abl1_active_000019,1,-0.0
218,abl1_decoy_000607,0,0.0
219,abl1_decoy_003488,0,0.0
220,abl1_decoy_000327,0,-0.0
221,abl1_decoy_004478,0,0.0
222,abl1_decoy_006047,0,0.0
223,abl1_decoy_005668,0,0.0
224,abl1_decoy_000277,0,-0.0
225,abl1_decoy_005264,0,-0.01
226,abl1_decoy_005157,0,-0.01
227,abl1_decoy_009888,0,-0.01
228,abl1_decoy_004523,0,-0.01
229,abl1_decoy_008766,0,-0.01
230,abl1_decoy_000230,0,-0.01
231,abl1_decoy_004404,0,-0.01
232,abl1_decoy_008791,0,-0.01
233,abl1_decoy_004624,0,-0.01
234,abl1_decoy_008789,0,-0.01
235,abl1_decoy_005703,0,-0.01
236,abl1_decoy_010659,0,-0.01
237,abl1_decoy_000325,0,-0.01
238,abl1_decoy_000840,0,-0.01
239,abl1_decoy_000606,0,-0.02
240,abl1_decoy_008803,0,-0.02
241,abl1_decoy_004764,0,-0.02
242,abl1_decoy_004778,0,-0.02
243,abl1_decoy_000143,0,-0.02
244,abl1_decoy_006782,0,-0.02
245,abl1_decoy_002902,0,-0.02
246,abl1_decoy_008805,0,-0.02
247,abl1_active_000230,1,-0.02
248,abl1_decoy_004443,0,-0.03
249,abl1_decoy_004265,0,-0.03
250,abl1_decoy_000950,0,-0.03
251,abl1_decoy_005315,0,-0.03
252,abl1_decoy_000308,0,-0.03
253,abl1_decoy_005888,0,-0.03
254,abl1_decoy_005369,0,-0.03
255,abl1_decoy_009973,0,-0.03
256,abl1_decoy_002998,0,-0.03
257,abl1_decoy_004882,0,-0.03
258,abl1_decoy_008231,0,-0.04
259,abl1_decoy_005488,0,-0.04
260,abl1_decoy_002890,0,-0.04
261,abl1_active_000284,1,-0.04
262,abl1_decoy_003533,0,-0.04
263,abl1_decoy_008625,0,-0.04
264,abl1_decoy_004537,0,-0.04
265,abl1_decoy_009875,0,-0.04
266,abl1_decoy_007659,0,-0.05
267,abl1_decoy_009359,0,-0.05
268,abl1_decoy_002827,0,-0.05
269,abl1_active_000013,1,-0.05
270,abl1_decoy_005593,0,-0.05
271,abl1_decoy_005719,0,-0.05
272,abl1_decoy_000008,0,-0.05
273,abl1_decoy_000299,0,-0.05
274,abl1_decoy_005694,0,-0.05
275,abl1_decoy_004272,0,-0.06
276,abl1_decoy_000118,0,-0.06
277,abl1_active_000026,1,-0.06
278,abl1_decoy_005797,0,-0.06
279,abl1_active_000074,1,-0.06
280,abl1_decoy_000231,0,-0.06
281,abl1_decoy_000226,0,-0.06
282,abl1_decoy_001561,0,-0.06
283,abl1_decoy_010324,0,-0.06
284,abl1_active_000054,1,-0.06
285,abl1_active_000269,1,-0.06
286,abl1_decoy_005290,0,-0.06
287,abl1_decoy_002904,0,-0.06
288,abl1_decoy_006268,0,-0.07
289,abl1_decoy_008734,0,-0.07
290,abl1_decoy_000004,0,-0.07
291,abl1_decoy_010439,0,-0.07
292,abl1_decoy_000846,0,-0.07
293,abl1_decoy_005511,0,-0.07
294,abl1_decoy_005471,0,-0.07
295,abl1_decoy_005674,0,-0.07
296,abl1_decoy_000212,0,-0.07
297,abl1_decoy_004859,0,-0.07
298,abl1_decoy_001755,0,-0.07
299,abl1_active_000265,1,-0.07
300,abl1_decoy_009909,0,-0.08
301,abl1_active_000022,1,-0.08
302,abl1_decoy_005671,0,-0.08
303,abl1_decoy_000611,0,-0.08
304,abl1_active_000161,1,-0.08
305,abl1_decoy_005755,0,-0.08
306,abl1_decoy_004538,0,-0.08
307,abl1_decoy_005327,0,-0.08
308,abl1_decoy_000232,0,-0.08
309,abl1_decoy_006921,0,-0.09
310,abl1_decoy_000808,0,-0.09
311,abl1_active_000102,1,-0.09
312,abl1_decoy_008715,0,-0.09
313,abl1_decoy_000999,0,-0.09
314,abl1_decoy_008545,0,-0.09
315,abl1_decoy_009363,0,-0.09
316,abl1_decoy_005713,0,-0.09
317,abl1_decoy_000169,0,-0.1
318,abl1_decoy_002905,0,-0.1
319,abl1_decoy_005676,0,-0.1
320,abl1_decoy_010644,0,-0.1
321,abl1_decoy_008616,0,-0.1
322,abl1_decoy_003534,0,-0.1
323,abl1_decoy_003899,0,-0.1
324,abl1_decoy_000211,0,-0.1
325,abl1_decoy_004304,0,-0.11
326,abl1_decoy_004750,0,-0.11
327,abl1_decoy_010308,0,-0.11
328,abl1_decoy_005550,0,-0.11
329,abl1_active_000264,1,-0.12
330,abl1_decoy_005478,0,-0.12
