complex_name,confidence,bucket
abl1_active_000294,-3.69,low
abl1_active_000196,-3.34,low
abl1_active_000084,-3.19,low
abl1_active_000159,-3.09,low
abl1_active_000091,-3.07,low
abl1_active_000178,-3.0,low
abl1_active_000170,-2.99,low
abl1_active_000279,-2.94,low
abl1_active_000293,-2.89,low
abl1_active_000259,-2.85,low
abl1_active_000227,-2.81,low
abl1_active_000092,-2.73,low
abl1_active_000090,-2.72,low
abl1_active_000167,-2.51,low
abl1_active_000219,-2.5,low
abl1_active_000220,-2.49,low
abl1_active_000047,-2.49,low
abl1_active_000112,-2.47,low
abl1_active_000207,-2.46,low
abl1_active_000275,-2.44,low
abl1_active_000287,-2.39,low
abl1_active_000191,-2.28,low
abl1_active_000184,-2.27,low
abl1_active_000289,-2.25,low
abl1_active_000134,-2.24,low
abl1_active_000292,-2.23,low
abl1_active_000052,-2.22,low
abl1_active_000208,-2.2,low
abl1_active_000194,-2.18,low
abl1_active_000115,-2.17,low
abl1_active_000288,-2.16,low
abl1_active_000186,-2.15,low
abl1_active_000053,-2.14,low
abl1_active_000181,-2.14,low
abl1_active_000006,-2.12,low
abl1_active_000192,-2.1,low
abl1_active_000231,-2.1,low
abl1_active_000160,-2.08,low
abl1_active_000037,-2.07,low
abl1_active_000138,-2.05,low
abl1_active_000177,-2.04,low
abl1_active_000190,-2.02,low
abl1_active_000031,-2.02,low
abl1_active_000205,-2.01,low
abl1_active_000253,-1.98,low
abl1_active_000069,-1.97,low
abl1_active_000027,-1.97,low
abl1_active_000029,-1.95,low
abl1_active_000195,-1.95,low
abl1_active_000099,-1.95,low
