complex_name,confidence,bucket
abl1_active_000240,0.76,high
abl1_active_000199,0.67,high
abl1_active_000286,0.66,high
abl1_active_000241,0.58,high
abl1_active_000156,0.51,high
abl1_active_000070,0.5,high
abl1_active_000214,0.45,high
abl1_active_000215,0.43,high
abl1_active_000146,0.4,high
abl1_active_000250,0.39,high
abl1_active_000041,0.38,high
abl1_active_000142,0.38,high
abl1_active_000272,0.37,high
abl1_active_000040,0.36,high
abl1_active_000120,0.34,high
abl1_active_000143,0.32,high
abl1_active_000045,0.31,high
abl1_active_000096,0.31,high
abl1_active_000098,0.26,high
abl1_active_000095,0.25,high
abl1_active_000152,0.24,high
abl1_active_000071,0.22,high
abl1_active_000110,0.16,high
abl1_active_000248,0.14,high
abl1_active_000097,0.13,high
abl1_active_000153,0.12,high
abl1_active_000119,0.12,high
abl1_active_000249,0.12,high
abl1_active_000172,0.11,high
abl1_active_000258,0.08,high
abl1_active_000252,0.05,high
abl1_active_000088,0.04,high
abl1_active_000251,0.01,high
abl1_active_000019,-0.0,moderate
abl1_active_000230,-0.02,moderate
abl1_active_000284,-0.04,moderate
abl1_active_000013,-0.05,moderate
abl1_active_000269,-0.06,moderate
abl1_active_000054,-0.06,moderate
abl1_active_000026,-0.06,moderate
abl1_active_000074,-0.06,moderate
abl1_active_000265,-0.07,moderate
abl1_active_000022,-0.08,moderate
abl1_active_000161,-0.08,moderate
abl1_active_000102,-0.09,moderate
abl1_active_000264,-0.12,moderate
abl1_active_000104,-0.13,moderate
abl1_active_000024,-0.13,moderate
abl1_active_000261,-0.14,moderate
abl1_active_000101,-0.15,moderate
