complex_name,confidence,bucket
abl1_decoy_000255,0.95,high
abl1_decoy_000622,0.88,high
abl1_decoy_005715,0.85,high
abl1_decoy_000160,0.78,high
abl1_decoy_005716,0.73,high
abl1_decoy_008737,0.72,high
abl1_decoy_000605,0.72,high
abl1_decoy_005665,0.66,high
abl1_decoy_005516,0.62,high
abl1_decoy_003489,0.59,high
abl1_decoy_003521,0.58,high
abl1_decoy_005752,0.58,high
abl1_decoy_010459,0.56,high
abl1_decoy_004462,0.53,high
abl1_decoy_000263,0.51,high
abl1_decoy_000173,0.48,high
abl1_decoy_010441,0.48,high
abl1_decoy_010687,0.47,high
abl1_decoy_008761,0.47,high
abl1_decoy_005499,0.46,high
abl1_decoy_005462,0.43,high
abl1_decoy_005506,0.42,high
abl1_decoy_008762,0.39,high
abl1_decoy_010278,0.38,high
abl1_decoy_000615,0.38,high
abl1_decoy_004244,0.38,high
abl1_decoy_005769,0.37,high
abl1_decoy_008499,0.37,high
abl1_decoy_000844,0.37,high
abl1_decoy_008774,0.36,high
abl1_decoy_008764,0.36,high
abl1_decoy_010332,0.36,high
abl1_decoy_000256,0.36,high
abl1_decoy_010691,0.36,high
abl1_decoy_008247,0.35,high
abl1_decoy_003006,0.35,high
abl1_decoy_003005,0.35,high
abl1_decoy_000318,0.35,high
abl1_decoy_005203,0.34,high
abl1_decoy_000187,0.34,high
abl1_decoy_000251,0.34,high
abl1_decoy_000197,0.34,high
abl1_decoy_000162,0.33,high
abl1_decoy_000273,0.33,high
abl1_decoy_007651,0.33,high
abl1_decoy_005460,0.32,high
abl1_decoy_005544,0.32,high
abl1_decoy_008711,0.32,high
abl1_decoy_008235,0.3,high
abl1_decoy_000254,0.29,high
