target,coverage_rate,fail_rate,skip_rate,retry_rate,ROC_AUC,LogAUC,BEDROC,EF_1pct,EF_5pct,EF_10pct,nEF_1pct,nEF_5pct,nEF_10pct,clash_rate_all,clash_rate_top1pct,pocket_in_rate_all,pocket_in_rate_top1pct,mean_COMdist,active_mean_COMdist,top1_mean_COMdist,COMdist2rate
abl1,0.9937388193202147,0.005366726296958855,0.0008944543828264759,0.00626118067978533,0.7757043980598398,17.447837403433255,0.26003784416154385,7.4443099273607745,4.47457627118644,3.6271186440677967,0.17465056762254738,0.18287243532560213,0.2919020715630885,0.628443649373882,0.036036036036036036,0.36887298747763864,1.0,49.47026686715174,5.425964565527207,1.4857652996112756,0.30847457627118646
akt1,0.9996470380610624,0.0003529619389375846,0.0,0.0003529619389375846,0.818108168008434,20.25224873501818,0.27219853304254893,10.63767209011264,4.538740091781393,3.5458906967042134,0.2459420423574835,0.18624947851481016,0.2828767440782459,0.27966350961821285,0.14201183431952663,0.27995764456732747,0.893491124260355,9.883990337134229,4.462140558973898,4.2008177518653005,0.1016548463356974
akt2,0.9970596471576589,0.002100252030243629,0.0008401008120974517,0.002940352842341081,0.579701789715947,4.766775653400764,0.11266909053599695,5.220760233918129,1.6799764775066157,1.4194626426205375,0.11535449431019051,0.035788235658242934,0.046606960291170826,0.7434892187062447,0.2112676056338028,0.6423970876505181,0.8873239436619719,8.186041637714897,3.8569017212537333,3.5616327975515976,0.24736842105263157
braf,0.9989370953715335,0.0,0.0010629046284665186,0.0010629046284665186,0.6962179012214166,18.646473038889997,0.2986416190284437,17.047463990193073,5.173783629958929,3.2666166252862947,0.39888229961759375,0.2196728226294173,0.25184629169847716,0.4644893226398686,0.05825242718446602,0.9083003188713885,1.0,4.764768584450738,2.5659167038487927,1.5557958177004683,0.4940239043824701
cdk2,1.0,0.0,0.0,0.0,0.8137371413212501,20.636410179393284,0.3115647464413752,6.49977683935867,5.936995887109676,4.422951474119559,0.15492876015984958,0.2598418887952461,0.38032794156883987,0.503227357000618,0.33676975945017185,0.5583327611069148,0.9896907216494846,11.661397611540155,4.06770667218378,2.987356906295316,0.4273182957393484
csf1r,0.9975627014702414,0.0007076027989621825,0.0017296957307964462,0.0024372985297586285,0.751050104082357,23.02621671262232,0.3606891490178606,17.02444820804196,6.922532656023222,4.0905874785591765,0.36861515221587715,0.3117122450538538,0.3433986087287974,0.4701627486437613,0.11811023622047244,0.9566003616636528,1.0,3.007774772723217,2.217804758602041,1.7411079215597394,0.6538461538461539
egfr,0.9984010586094724,0.00016540773005458456,0.001433533660473066,0.0015989413905276506,0.8513758631382584,25.526853436859202,0.3794701615967749,8.887860245814792,7.186311328555679,5.720207679586125,0.18516730784148488,0.3255953330818778,0.524467519954014,0.29737553068313394,0.19613259668508287,0.5283398577493521,1.0,6.544755020665849,3.545682152436948,2.2234762249656996,0.296875
fak1,1.0,0.0,0.0,0.0,0.9018540891287827,32.504793173830336,0.44209194171075344,19.00877192982456,8.239638952453598,5.960589880498348,0.3800444279896335,0.3810336290765052,0.5511766533887053,0.4726250906453952,0.03636363636363636,0.7726613488034808,1.0,6.361830885112701,1.3762874043763031,1.0365338736920255,0.9122807017543859
fgfr1,0.9818963566417742,0.016745870106358904,0.0013577732518669382,0.01810364335822584,0.7437603429154596,13.259037113472104,0.19273341126209745,2.857650957885377,4.027865490413099,3.524382304111462,0.029683122559612297,0.1593613416006894,0.28048692267905134,0.6276306856754922,0.07954545454545454,0.6940484272459833,1.0,9.099973789206636,4.724775980867132,2.615287938054033,0.11510791366906475
igf1r,0.9950171286203675,0.004567632097996471,0.00041523928163604275,0.004982871379632514,0.7862162050290172,19.18006041775585,0.29840648484063226,7.030745369947997,5.394310211875298,4.377350089964381,0.14488662204828823,0.23127948483554198,0.37526112110715343,0.5482196615799855,0.125,0.8602719817294716,1.0,5.072070646184045,2.2282903881036193,1.1883670462392306,0.5309734513274337
