complex_name,confidence,label
wee1_decoy_000001,-1.3,0
wee1_decoy_000002,-0.84,0
wee1_decoy_000003,-1.3,0
wee1_decoy_000004,-0.5,0
wee1_decoy_000005,-2.29,0
wee1_decoy_000006,-1.85,0
wee1_decoy_000007,-0.62,0
wee1_decoy_000008,-0.66,0
wee1_decoy_000009,-0.52,0
wee1_decoy_000010,-0.64,0
wee1_decoy_000011,-1.69,0
wee1_decoy_000012,-0.86,0
wee1_decoy_000013,-0.96,0
wee1_decoy_000014,-0.79,0
wee1_decoy_000015,-1.1,0
wee1_decoy_000016,-0.51,0
wee1_decoy_000017,-1.39,0
wee1_decoy_000018,-1.45,0
wee1_decoy_000019,-0.89,0
wee1_decoy_000020,-1.0,0
wee1_decoy_000021,-0.04,0
wee1_decoy_000022,-1.87,0
wee1_decoy_000023,-0.6,0
wee1_decoy_000024,-1.16,0
wee1_decoy_000025,-1.26,0
wee1_decoy_000026,-1.88,0
wee1_decoy_000027,-0.99,0
wee1_decoy_000028,-0.56,0
wee1_decoy_000029,-0.36,0
wee1_decoy_000030,-0.2,0
wee1_decoy_000031,-1.12,0
wee1_decoy_000032,-0.97,0
wee1_decoy_000033,0.05,0
wee1_decoy_000034,-1.03,0
wee1_decoy_000035,-0.89,0
wee1_decoy_000036,-0.95,0
wee1_decoy_000037,-0.43,0
wee1_decoy_000038,-0.02,0
wee1_decoy_000039,-0.93,0
wee1_decoy_000040,-0.26,0
wee1_decoy_000041,-0.64,0
wee1_decoy_000042,-1.39,0
wee1_decoy_000043,-1.99,0
wee1_decoy_000044,-0.68,0
wee1_decoy_000045,-1.21,0
wee1_decoy_000046,-1.43,0
wee1_decoy_000047,-0.98,0
wee1_decoy_000048,-0.27,0
wee1_decoy_000049,-0.56,0
wee1_decoy_000050,-1.36,0
wee1_decoy_000051,-1.35,0
wee1_decoy_000052,-0.74,0
wee1_decoy_000053,-0.82,0
wee1_decoy_000054,-0.49,0
wee1_decoy_000055,-1.24,0
wee1_decoy_000056,-0.57,0
wee1_decoy_000057,-0.33,0
wee1_decoy_000058,-0.95,0
wee1_decoy_000059,-1.12,0
wee1_decoy_000060,-1.33,0
wee1_decoy_000061,-1.27,0
wee1_decoy_000062,-0.57,0
wee1_decoy_000063,-1.22,0
wee1_decoy_000064,-0.48,0
wee1_decoy_000065,-1.44,0
wee1_decoy_000066,-2.06,0
wee1_decoy_000067,-1.11,0
wee1_decoy_000068,-1.2,0
wee1_decoy_000069,-1.0,0
wee1_decoy_000070,-1.67,0
wee1_decoy_000071,-1.77,0
wee1_decoy_000072,-0.59,0
wee1_decoy_000073,-1.94,0
wee1_decoy_000074,-0.59,0
wee1_decoy_000075,-1.38,0
wee1_decoy_000076,-1.07,0
wee1_decoy_000077,-0.78,0
wee1_decoy_000078,-4.07,0
wee1_decoy_000079,-1.44,0
wee1_decoy_000080,-1.65,0
wee1_decoy_000081,-1.8,0
wee1_decoy_000082,-2.56,0
wee1_decoy_000083,-1.38,0
wee1_decoy_000084,-1.51,0
wee1_decoy_000085,-1.52,0
wee1_decoy_000086,-1.24,0
wee1_decoy_000087,-2.98,0
wee1_decoy_000088,-1.29,0
wee1_decoy_000089,-0.48,0
wee1_decoy_000090,-3.61,0
wee1_decoy_000091,-1.68,0
wee1_decoy_000092,-1.66,0
wee1_decoy_000093,-0.59,0
wee1_decoy_000094,-1.16,0
wee1_decoy_000095,-2.41,0
wee1_decoy_000096,-2.61,0
wee1_decoy_000097,-0.64,0
wee1_decoy_000098,-0.06,0
wee1_decoy_000099,-1.15,0
wee1_decoy_000100,-1.54,0
wee1_decoy_000101,-0.35,0
wee1_decoy_000102,-0.04,0
wee1_decoy_000103,-1.03,0
wee1_decoy_000104,-1.27,0
wee1_decoy_000105,-2.72,0
wee1_decoy_000106,-2.7,0
wee1_decoy_000107,-1.34,0
wee1_decoy_000108,-1.12,0
wee1_decoy_000109,-1.3,0
wee1_decoy_000110,-1.5,0
wee1_decoy_000111,-0.68,0
wee1_decoy_000112,-1.53,0
wee1_decoy_000113,-0.6,0
wee1_decoy_000114,-0.59,0
wee1_decoy_000115,-1.54,0
wee1_decoy_000116,-1.57,0
wee1_decoy_000117,-0.73,0
wee1_decoy_000118,-1.42,0
wee1_decoy_000119,-2.02,0
wee1_decoy_000120,-1.81,0
wee1_decoy_000121,-1.96,0
wee1_decoy_000122,-0.72,0
wee1_decoy_000123,-1.44,0
wee1_decoy_000124,-0.56,0
wee1_decoy_000125,-0.97,0
wee1_decoy_000126,-1.31,0
wee1_decoy_000127,-0.8,0
wee1_decoy_000128,-1.2,0
wee1_decoy_000129,-2.75,0
wee1_decoy_000130,-0.25,0
wee1_decoy_000131,-2.75,0
wee1_decoy_000132,-1.26,0
wee1_decoy_000133,-2.93,0
wee1_decoy_000134,-1.9,0
wee1_decoy_000135,-0.21,0
wee1_decoy_000136,-1.81,0
wee1_decoy_000137,0.01,0
wee1_decoy_000138,-0.73,0
wee1_decoy_000139,-0.93,0
wee1_decoy_000140,-0.99,0
wee1_decoy_000141,-1.0,0
wee1_decoy_000142,-0.64,0
wee1_decoy_000143,-1.21,0
wee1_decoy_000144,-0.18,0
wee1_decoy_000145,-1.06,0
wee1_decoy_000146,-1.56,0
wee1_decoy_000147,-0.39,0
wee1_decoy_000148,-1.79,0
wee1_decoy_000149,-1.22,0
wee1_decoy_000150,-1.25,0
wee1_decoy_000151,-0.53,0
wee1_decoy_000152,-1.34,0
wee1_decoy_000153,-0.99,0
wee1_decoy_000154,-1.46,0
wee1_decoy_000155,-1.78,0
wee1_decoy_000156,-1.57,0
wee1_decoy_000157,-0.87,0
wee1_decoy_000158,-3.33,0
wee1_decoy_000159,-1.03,0
wee1_decoy_000160,-2.86,0
wee1_decoy_000161,-2.41,0
wee1_decoy_000162,-1.66,0
wee1_decoy_000163,-1.43,0
wee1_decoy_000164,-1.28,0
wee1_decoy_000165,-1.24,0
wee1_decoy_000166,-1.22,0
wee1_decoy_000167,-1.38,0
wee1_decoy_000168,-2.41,0
wee1_decoy_000169,-1.71,0
wee1_decoy_000170,-1.88,0
wee1_decoy_000171,-2.62,0
wee1_decoy_000172,-0.57,0
wee1_decoy_000173,-0.43,0
wee1_decoy_000174,-1.51,0
wee1_decoy_000175,-1.33,0
wee1_decoy_000176,-1.19,0
wee1_decoy_000177,-1.98,0
wee1_decoy_000178,-1.39,0
wee1_decoy_000179,-1.92,0
wee1_decoy_000180,-0.86,0
wee1_decoy_000181,-0.98,0
wee1_decoy_000182,-1.56,0
wee1_decoy_000183,-1.68,0
wee1_decoy_000184,-1.93,0
wee1_decoy_000185,-1.23,0
wee1_decoy_000186,-1.42,0
wee1_decoy_000187,-1.24,0
wee1_decoy_000188,-1.48,0
wee1_decoy_000189,-0.79,0
wee1_decoy_000190,-1.02,0
wee1_decoy_000191,-1.68,0
wee1_decoy_000192,-1.56,0
wee1_decoy_000193,-1.59,0
wee1_decoy_000194,-2.47,0
wee1_decoy_000195,-1.42,0
wee1_decoy_000196,-1.8,0
wee1_decoy_000197,-1.33,0
wee1_decoy_000198,-0.82,0
wee1_decoy_000199,-1.78,0
wee1_decoy_000200,-1.15,0
wee1_decoy_000201,-1.71,0
wee1_decoy_000202,-0.77,0
wee1_decoy_000203,-0.98,0
wee1_decoy_000204,-1.8,0
wee1_decoy_000205,-1.61,0
wee1_decoy_000206,-1.92,0
wee1_decoy_000207,-0.67,0
wee1_decoy_000208,-0.97,0
wee1_decoy_000209,-0.45,0
wee1_decoy_000210,-0.59,0
wee1_decoy_000211,-2.46,0
wee1_decoy_000212,-0.74,0
wee1_decoy_000213,-0.65,0
wee1_decoy_000214,-1.16,0
wee1_decoy_000215,-0.6,0
wee1_decoy_000216,-1.43,0
wee1_decoy_000217,-1.73,0
wee1_decoy_000218,-1.24,0
wee1_decoy_000219,-1.21,0
wee1_decoy_000220,-1.32,0
wee1_decoy_000221,-0.83,0
wee1_decoy_000222,-1.05,0
wee1_decoy_000223,-0.6,0
wee1_decoy_000224,-0.44,0
wee1_decoy_000225,-2.98,0
wee1_decoy_000226,-1.65,0
wee1_decoy_000227,-0.6,0
wee1_decoy_000228,-0.75,0
wee1_decoy_000229,-1.58,0
wee1_decoy_000230,-1.33,0
wee1_decoy_000231,-1.29,0
wee1_decoy_000232,-1.5,0
wee1_decoy_000233,-2.13,0
wee1_decoy_000234,-1.22,0
wee1_decoy_000235,-0.28,0
wee1_decoy_000236,-0.59,0
wee1_decoy_000237,-0.47,0
wee1_decoy_000238,-1.12,0
wee1_decoy_000239,-0.8,0
wee1_decoy_000240,-0.51,0
wee1_decoy_000241,-0.79,0
wee1_decoy_000242,-0.87,0
wee1_decoy_000243,-0.62,0
wee1_decoy_000244,-1.63,0
wee1_decoy_000245,-2.05,0
wee1_decoy_000246,-3.02,0
wee1_decoy_000247,-1.24,0
wee1_decoy_000248,-1.98,0
wee1_decoy_000249,-1.79,0
wee1_decoy_000250,-0.88,0
wee1_decoy_000251,-2.26,0
wee1_decoy_000252,-2.25,0
wee1_decoy_000253,-3.18,0
wee1_decoy_000254,-1.44,0
wee1_decoy_000255,-2.29,0
wee1_decoy_000256,-2.71,0
wee1_decoy_000257,-0.3,0
wee1_decoy_000258,-2.06,0
wee1_decoy_000259,-0.55,0
wee1_decoy_000260,-0.54,0
wee1_decoy_000261,-0.64,0
wee1_decoy_000262,-1.16,0
wee1_decoy_000263,-2.08,0
wee1_decoy_000264,-0.86,0
wee1_decoy_000265,-0.87,0
wee1_decoy_000266,-0.56,0
wee1_decoy_000267,-0.13,0
wee1_decoy_000268,-0.14,0
wee1_decoy_000269,-1.37,0
wee1_decoy_000270,-0.97,0
wee1_decoy_000271,-0.94,0
wee1_decoy_000272,-1.99,0
wee1_decoy_000273,-1.89,0
wee1_decoy_000274,-1.2,0
wee1_decoy_000275,-0.32,0
wee1_decoy_000276,-0.66,0
wee1_decoy_000277,-0.67,0
wee1_decoy_000278,-1.42,0
wee1_decoy_000279,-1.66,0
wee1_decoy_000280,-0.15,0
wee1_decoy_000281,-3.34,0
wee1_decoy_000282,-1.66,0
wee1_decoy_000283,-0.27,0
wee1_decoy_000284,-1.02,0
wee1_decoy_000285,-1.66,0
wee1_decoy_000286,-1.69,0
wee1_decoy_000287,-1.12,0
wee1_decoy_000288,-1.79,0
wee1_decoy_000289,-2.16,0
wee1_decoy_000290,-0.66,0
wee1_decoy_000291,-0.4,0
wee1_decoy_000292,-0.74,0
wee1_decoy_000293,-0.74,0
wee1_decoy_000294,-1.5,0
wee1_decoy_000295,-0.62,0
wee1_decoy_000296,-0.44,0
wee1_decoy_000297,-1.42,0
wee1_decoy_000298,-0.74,0
wee1_decoy_000299,-1.17,0
wee1_decoy_000300,-0.92,0
wee1_decoy_000301,-0.6,0
wee1_decoy_000302,-1.51,0
wee1_decoy_000303,-1.66,0
wee1_decoy_000304,-1.8,0
wee1_decoy_000305,-1.75,0
wee1_decoy_000306,-0.79,0
wee1_decoy_000307,-1.27,0
wee1_decoy_000308,-1.52,0
wee1_decoy_000309,-2.08,0
wee1_decoy_000310,-2.35,0
wee1_decoy_000311,-2.46,0
wee1_decoy_000312,-1.57,0
wee1_decoy_000313,-1.58,0
wee1_decoy_000314,-1.24,0
wee1_decoy_000315,-1.09,0
wee1_decoy_000316,-0.82,0
wee1_decoy_000317,-2.65,0
wee1_decoy_000318,-1.93,0
wee1_decoy_000319,-2.84,0
