complex_name,protein_path,protein_sequence,ligand_description
wee1_active_000001,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@](=O)c1nc([H])n([H])n1)C(=O)N([H])C3=O
wee1_active_000002,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@](=O)c1nc([H])nn1[H])C(=O)N([H])C3=O
wee1_active_000003,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@](=O)c1n[n-]c([H])n1)C(=O)N([H])C3=O
wee1_active_000004,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@@](=O)c1nc([H])n([H])n1)C(=O)N([H])C3=O
wee1_active_000005,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@@](=O)c1n[n-]c([H])n1)C(=O)N([H])C3=O
wee1_active_000006,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])[S@@](=O)c1nc([H])nn1[H])C(=O)N([H])C3=O
wee1_active_000007,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])n2c([H])c([H])c([H])c2[H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])O[H])C(=O)N([H])C3=O
wee1_active_000008,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])nc([H])c4[H])c([H])c1n2[H])C(=O)N([H])C3=O
wee1_active_000009,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])S(=O)(=O)n1nnc([H])c1[H])C(=O)N([H])C3=O
wee1_active_000010,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c([H])c([H])c2c(c1[H])c1c3c(c(-c4c([H])c([H])c([H])c([H])c4Cl)c([H])c1n2C([H])([H])C([H])([H])/C([O-])=N/S(=O)(=O)c1c([H])c([H])c([H])c([H])c1[H])C(=O)N([H])C3=O
