complex_name,protein_path,protein_sequence,ligand_description
wee1_decoy_000001,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c(C([H])([H])C([H])([H])[H])sc([C@]2([H])C(C#N)=C(N([H])[H])N(c3c([H])c([H])c([H])c([H])c3[N+](=O)[O-])C3=C2C(=O)C([H])([H])C([H])([H])C3([H])[H])c1[H]
wee1_decoy_000002,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c([C@@]3([H])C(C#N)=C(N([H])[H])Oc4c([H])c5c(c([H])c43)OC([H])([H])O5)c([H])c2OC([H])([H])[H])c([H])c1[H]
wee1_decoy_000003,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]Oc1c(/C([H])=C2/C(=O)N(C([H])([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C(=O)N2[H])c(C([H])([H])C([H])([H])[H])nn1-c1c([H])c([H])c(F)c([H])c1[H]
wee1_decoy_000004,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c(C([H])([H])Oc2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])oc([C@@]2([H])C(C#N)=C(N([H])[H])OC3=C2C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C3([H])[H])c1[H]
wee1_decoy_000005,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1oc(C([H])([H])N([H])C(=O)c2c([H])c([H])c(N([H])C(=O)N3c4c([H])c([H])c([H])c([H])c4N4C([H])([H])C([H])([H])C([H])([H])[C@]4([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
wee1_decoy_000006,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(C(=O)N([H])[C@@]2([H])C([H])([H])O[C@@]3([H])[C@]2([H])OC([H])([H])[C@@]3([H])OC(=O)N([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H]
wee1_decoy_000007,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1sc(N([H])C(=O)C([H])([H])N2C(=O)N([H])C3(C2=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc1-c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
wee1_decoy_000008,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(C(=O)N([H])c2nc3c(s2)C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c2c1OC([H])([H])O2
wee1_decoy_000009,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]OC1=N/C(=N\N=C(/[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])S[C@@]([H])(C(=O)N([H])c2c([H])c(Cl)c([H])c([H])c2C([H])([H])[H])C1([H])[H]
wee1_decoy_000010,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c(C(=O)N([H])c2nc3c(s2)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc(C(=O)N([H])c2nc3c(s2)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H]
wee1_decoy_000011,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1nc(N([H])S(=O)(=O)c2c([H])c([H])c(N([H])C(=O)c3c([H])c([H])c([H])c4c3O[C@@]([H])(C([H])([H])[H])[C@@]4([H])C([H])([H])[H])c([H])c2[H])sc1[H]
wee1_decoy_000012,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c(N([H])C(=O)N([H])C(=O)C([H])([H])OC(=O)C2([H])c3c([H])c([H])c([H])c([H])c3Oc3c([H])c([H])c([H])c([H])c32)c(F)c1[H]
wee1_decoy_000013,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(-c2c(S(=O)(=O)c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])nnn2-c2c([H])c([H])c(N([H])[H])c([H])c2[H])c([H])c([H])c1F
wee1_decoy_000014,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]N(C(=O)N([H])C([H])([H])C([H])([H])[H])C(=O)[C@@]([H])(Sc1nc2sc(C([H])([H])[H])c(C([H])([H])[H])c2c(=O)n1C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
wee1_decoy_000015,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c([H])c2c(c1[H])N(S(=O)(=O)c1c([H])c([H])c([H])c(C(=O)N([H])c3nc4c([H])c([H])c([H])c([H])c4n3[H])c1[H])C([H])([H])C2([H])[H]
wee1_decoy_000016,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(S(=O)(=O)/N=c2\on([H])c(C([H])([H])[H])c2C([H])([H])[H])c([H])c([H])c1N([H])C(=O)c1sc2c(c1[H])C([H])([H])C([H])([H])C2([H])[H]
wee1_decoy_000017,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]C1=C([H])[C@]2([H])c3c([H])c(C(=O)N([H])C([H])([H])[C@@]4([H])OC([H])([H])C([H])([H])C4([H])[H])c([H])c([H])c3N([H])[C@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])[C@]2([H])C1([H])[H]
wee1_decoy_000018,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/receptor.pdb,SEQUENCE_PLACEHOLDER,[H]c1c([H])c(S(=O)(=O)/N=C2/N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1N([H])S(=O)(=O)c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H]
